train_params/lambda_normal_consistency,epoch,train_params/lambda_sds,train/loss_sds,lr-AdamW,train/max_step,train/min_step,step,train/grad_norm
0.0,0,1.0,146270.96875,,500.0,20.0,175,540.8714599609375
,,,,0.01,,,176,
0.0,0,1.0,7838.419921875,,500.0,20.0,176,125.20719146728516
,,,,0.01,,,177,
0.0,0,1.0,3308.654296875,,500.0,20.0,177,81.34683990478516
,,,,0.01,,,178,
0.0,0,1.0,1873.816650390625,,500.0,20.0,178,61.217918395996094
,,,,0.01,,,179,
0.0,0,1.0,42757.01953125,,500.0,20.0,179,292.4278259277344
,,,,0.01,,,180,
0.0,0,1.0,10254.45703125,,500.0,20.0,180,143.20933532714844
,,,,0.01,,,181,
0.0,0,1.0,883.1412963867188,,500.0,20.0,181,42.027164459228516
,,,,0.01,,,182,
0.0,0,1.0,3836.439697265625,,500.0,20.0,182,87.594970703125
,,,,0.01,,,183,
0.0,0,1.0,75.63549041748047,,500.0,20.0,183,12.299226760864258
,,,,0.01,,,184,
0.0,0,1.0,305.3494873046875,,500.0,20.0,184,24.712324142456055
,,,,0.01,,,185,
0.0,0,1.0,29275.294921875,,500.0,20.0,185,241.9722900390625
,,,,0.01,,,186,
0.0,0,1.0,45822.0625,,500.0,20.0,186,302.7278137207031
,,,,0.01,,,187,
0.0,0,1.0,48730.1328125,,500.0,20.0,187,312.186279296875
,,,,0.01,,,188,
0.0,0,1.0,29.02718162536621,,500.0,20.0,188,7.6193413734436035
,,,,0.01,,,189,
0.0,0,1.0,7265.380859375,,500.0,20.0,189,120.54360961914062
,,,,0.01,,,190,
0.0,0,1.0,17030.5,,500.0,20.0,190,184.5562286376953
,,,,0.01,,,191,
0.0,0,1.0,17242.859375,,500.0,20.0,191,185.70330810546875
,,,,0.01,,,192,
0.0,0,1.0,13690.49609375,,500.0,20.0,192,165.47203063964844
,,,,0.01,,,193,
0.0,0,1.0,59487.46484375,,500.0,20.0,193,344.92742919921875
,,,,0.01,,,194,
0.0,0,1.0,47697.109375,,500.0,20.0,194,308.85955810546875
,,,,0.01,,,195,
0.0,0,1.0,662.3737182617188,,500.0,20.0,195,36.39707946777344
,,,,0.01,,,196,
0.0,0,1.0,24173.720703125,,500.0,20.0,196,219.88052368164062
,,,,0.01,,,197,
0.0,0,1.0,20656.78125,,500.0,20.0,197,203.25738525390625
,,,,0.01,,,198,
0.0,0,1.0,8329.755859375,,500.0,20.0,198,129.0717315673828
,,,,0.01,,,199,
0.0,0,1.0,233.50564575195312,,500.0,20.0,199,21.610445022583008
,,,,0.01,,,200,
0.0,0,1.0,969.6603393554688,,500.0,20.0,200,44.037715911865234
,,,,0.01,,,201,
0.0,0,1.0,37558.859375,,500.0,20.0,201,274.07611083984375
,,,,0.01,,,202,
0.0,0,1.0,29052.919921875,,500.0,20.0,202,241.05152893066406
,,,,0.01,,,203,
0.0,0,1.0,1733.929443359375,,500.0,20.0,203,58.888526916503906
,,,,0.01,,,204,
0.0,0,1.0,75145.1875,,500.0,20.0,204,387.67303466796875
,,,,0.01,,,205,
0.0,0,1.0,7911.5908203125,,500.0,20.0,205,125.79022979736328
,,,,0.01,,,206,
0.0,0,1.0,11687.6884765625,,500.0,20.0,206,152.89007568359375
,,,,0.01,,,207,
0.0,0,1.0,57040.70703125,,500.0,20.0,207,337.7593994140625
,,,,0.01,,,208,
0.0,0,1.0,19.06619644165039,,500.0,20.0,208,6.175142765045166
,,,,0.01,,,209,
0.0,0,1.0,26563.94921875,,500.0,20.0,209,230.49490356445312
,,,,0.01,,,210,
0.0,0,1.0,17.143461227416992,,500.0,20.0,210,5.855503559112549
,,,,0.01,,,211,
0.0,0,1.0,13268.921875,,500.0,20.0,211,162.90440368652344
,,,,0.01,,,212,
0.0,0,1.0,142.51832580566406,,500.0,20.0,212,16.883028030395508
,,,,0.01,,,213,
0.0,0,1.0,832.9501342773438,,500.0,20.0,213,40.8154411315918
,,,,0.01,,,214,
0.0,0,1.0,1590.68408203125,,500.0,20.0,214,56.40361785888672
,,,,0.01,,,215,
0.0,0,1.0,62080.1953125,,500.0,20.0,215,352.364013671875
,,,,0.01,,,216,
0.0,0,1.0,9765.115234375,,500.0,20.0,216,139.75059509277344
,,,,0.01,,,217,
0.0,0,1.0,515.107177734375,,500.0,20.0,217,32.09695053100586
,,,,0.01,,,218,
0.0,0,1.0,32530.931640625,,500.0,20.0,218,255.072265625
,,,,0.01,,,219,
0.0,0,1.0,113603.5078125,,500.0,20.0,219,476.6623840332031
,,,,0.01,,,220,
0.0,0,1.0,30695.439453125,,500.0,20.0,220,247.77183532714844
,,,,0.01,,,221,
0.0,0,1.0,2127.8173828125,,500.0,20.0,221,65.2352294921875
,,,,0.01,,,222,
0.0,0,1.0,524.9622802734375,,500.0,20.0,222,32.40253829956055
,,,,0.01,,,223,
0.0,0,1.0,34761.9140625,,500.0,20.0,223,263.6737060546875
,,,,0.01,,,224,
0.0,0,1.0,5145.2626953125,,500.0,20.0,224,101.44223022460938
,,,,0.01,,,225,
0.0,0,1.0,16038.6748046875,,500.0,20.0,225,179.10150146484375
,,,,0.01,,,226,
0.0,0,1.0,36695.0234375,,500.0,20.0,226,270.9059753417969
,,,,0.01,,,227,
0.0,0,1.0,48.522491455078125,,500.0,20.0,227,9.851140975952148
,,,,0.01,,,228,
0.0,0,1.0,689.122314453125,,500.0,20.0,228,37.124717712402344
,,,,0.01,,,229,
0.0,0,1.0,9953.984375,,500.0,20.0,229,141.09559631347656
,,,,0.01,,,230,
0.0,0,1.0,13287.17578125,,500.0,20.0,230,163.01641845703125
,,,,0.01,,,231,
0.0,0,1.0,77328.203125,,500.0,20.0,231,393.2637939453125
,,,,0.01,,,232,
0.0,0,1.0,8324.0341796875,,500.0,20.0,232,129.0273895263672
,,,,0.01,,,233,
0.0,0,1.0,2056.37158203125,,500.0,20.0,233,64.13067626953125
,,,,0.01,,,234,
0.0,0,1.0,25279.97265625,,500.0,20.0,234,224.8553924560547
,,,,0.01,,,235,
0.0,0,1.0,712.863037109375,,500.0,20.0,235,37.7587890625
,,,,0.01,,,236,
0.0,0,1.0,22978.109375,,500.0,20.0,236,214.3740234375
,,,,0.01,,,237,
