lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
,,,599,0.02240798994898796,0.17598548531532288,0.057574059814214706,0.01842142827808857,0.006260298658162355,0.01711788773536682,0.01537708006799221,0.02009168080985546,224.5908660888672,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1719.0,0,,
0.0009529116391387575,0.009529116391387564,0.0009529116391387575,699,,,,,,,,,,,,,,,,,,,,,,,,
,,,699,0.027211761102080345,0.17905773222446442,0.05275869369506836,0.018559567630290985,0.0021160547621548176,0.015894796699285507,0.012899642810225487,0.019641613587737083,262.5119934082031,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1812.0,0,,
0.0009300928714144201,0.00930092871414419,0.0009300928714144201,799,,,,,,,,,,,,,,,,,,,,,,,,
,,,799,0.024451065808534622,0.1656661033630371,0.04740850254893303,0.018347473815083504,0.0007084476528689265,0.014333358965814114,0.014612007886171341,0.021151026710867882,321.20343017578125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1978.0,0,,
0.0009078205301781964,0.009078205301781956,0.0009078205301781964,899,,,,,,,,,,,,,,,,,,,,,,,,
,,,899,0.025569254532456398,0.16715463995933533,0.04205408692359924,0.019738594070076942,0.0006964656640775502,0.01403829175978899,0.016188429668545723,0.021584611386060715,388.18463134765625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2119.0,0,,
0.0008860815305032171,0.008860815305032167,0.0008860815305032171,999,,,,,,,,,,,,,,,,,,,,,,,,
,,,999,0.035380035638809204,0.17928878962993622,0.03973538428544998,0.02233641967177391,0.0006788105820305645,0.013000951148569584,0.014752105809748173,0.02096858248114586,459.76495361328125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2253.0,0,,
0.0008648631007990185,0.00864863100799018,0.0008648631007990185,1099,,,,,,,,,,,,,,,,,,,,,,,,
,,,1099,0.025283636525273323,0.1627344936132431,0.038275979459285736,0.022683637216687202,0.0006869860226288438,0.013529696501791477,0.01731569692492485,0.02258482575416565,553.5338134765625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2401.0,0,,
0.0008441527753082735,0.008441527753082734,0.0008441527753082735,1199,,,,,,,,,,,,,,,,,,,,,,,,
,,,1199,0.03579068183898926,0.17333285510540009,0.041029561311006546,0.023030590265989304,0.0006841735448688269,0.012100404128432274,0.01690187305212021,0.021701287478208542,647.3688354492188,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2557.0,0,,
0.0008239383867832009,0.008239383867832016,0.0008239383867832009,1299,,,,,,,,,,,,,,,,,,,,,,,,
,,,1299,0.028176791965961456,0.1725502759218216,0.032829649746418,0.02201831340789795,0.0006780096446163952,0.010919854044914246,0.01681394875049591,0.022453274577856064,755.1194458007812,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2634.0,0,,
0.0008042080593373492,0.008042080593373494,0.0008042080593373492,1399,,,,,,,,,,,,,,,,,,,,,,,,
,,,1399,0.031502678990364075,0.16882425546646118,0.03259985148906708,0.02128181979060173,0.0006850921781733632,0.010015537030994892,0.01666896417737007,0.021714819595217705,846.04736328125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2676.0,0,,
0.0007849502014685493,0.007849502014685499,0.0007849502014685493,1499,,,,,,,,,,,,,,,,,,,,,,,,
,,,1499,0.03262640908360481,0.1722077876329422,0.03181082010269165,0.021257732063531876,0.0006939509185031056,0.01120568998157978,0.01832117885351181,0.02187059447169304,897.5186767578125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2780.0,0,,
