lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
,,,4399,0.03557774797081947,0.21458005905151367,0.02597765251994133,0.024099847301840782,0.0011017794022336602,0.02334747463464737,0.023407837375998497,0.026592319831252098,504.48272705078125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5433.0,0,,
0.00037936095644506456,0.003793609564450651,0.00037936095644506456,4499,,,,,,,,,,,,,,,,,,,,,,,,
,,,4499,0.033183950930833817,0.1955035924911499,0.025810401886701584,0.023198258131742477,0.001309093669988215,0.02369692735373974,0.018488440662622452,0.022987937554717064,500.0133972167969,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5392.0,0,,
0.00037027664139081026,0.0037027664139081093,0.00037027664139081026,4599,,,,,,,,,,,,,,,,,,,,,,,,
,,,4599,0.03638986870646477,0.20689144730567932,0.0255945585668087,0.024759534746408463,0.0010656947270035744,0.023362433537840843,0.01542556844651699,0.021907484158873558,514.0294189453125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5406.0,0,,
0.0003614098626396544,0.0036140986263965493,0.0003614098626396544,4699,,,,,,,,,,,,,,,,,,,,,,,,
,,,4699,0.0336911641061306,0.19950580596923828,0.025824982672929764,0.02457849122583866,0.0022193342447280884,0.024714229628443718,0.015943989157676697,0.02165316790342331,522.2392578125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5457.0,0,,
0.0003527554109883842,0.0035275541098838455,0.0003527554109883842,4799,,,,,,,,,,,,,,,,,,,,,,,,
,,,4799,0.02930714748799801,0.19184637069702148,0.026344409212470055,0.023571763187646866,0.0014942520065233111,0.024119848385453224,0.01785239763557911,0.023681974038481712,520.607666015625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5359.0,0,,
0.00034430820197525665,0.0034430820197525708,0.00034430820197525665,4899,,,,,,,,,,,,,,,,,,,,,,,,
,,,4899,0.03678547963500023,0.2060924768447876,0.026550063863396645,0.02273421175777912,0.0016448276583105326,0.025007665157318115,0.020200882107019424,0.026305686682462692,525.8359985351562,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5385.0,0,,
0.00033606327289289366,0.003360632728928936,0.00033606327289289366,4999,,,,,,,,,,,,,,,,,,,,,,,,
,,,4999,0.030125126242637634,0.19623444974422455,0.025059308856725693,0.022800354287028313,0.0011274042772129178,0.022216157987713814,0.016017533838748932,0.02159462869167328,533.0496215820312,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5406.0,0,,
0.00032801577987270734,0.0032801577987270707,0.00032801577987270734,5099,,,,,,,,,,,,,,,,,,,,,,,,
,,,5099,0.029622893780469894,0.18811511993408203,0.02396860159933567,0.02305704914033413,0.0011716600274667144,0.02446533739566803,0.0150525514036417,0.02154897153377533,523.6868286132812,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5467.0,0,,
0.00032016099503914434,0.0032016099503914403,0.00032016099503914434,5199,,,,,,,,,,,,,,,,,,,,,,,,
,,,5199,0.03167684003710747,0.19371424615383148,0.026549406349658966,0.022303801029920578,0.0013871219707652926,0.02347879856824875,0.018948573619127274,0.022362645715475082,534.5628662109375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5446.0,0,,
0.0003124943037320743,0.0031249430373207405,0.0003124943037320743,5299,,,,,,,,,,,,,,,,,,,,,,,,
,,,5299,0.033296868205070496,0.1957787722349167,0.024625753983855247,0.023198921233415604,0.0013677412644028664,0.02448948286473751,0.020191900432109833,0.02387426421046257,528.8350830078125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5441.0,0,,
0.0003050112017956915,0.003050112017956916,0.0003050112017956915,5399,,,,,,,,,,,,,,,,,,,,,,,,
