lr-Adam/geometry,train/min_step,train_params/lambda_sds,train/loss_sparsity,train/loss_sds,train/loss_opaque,step,train_params/lambda_opaque,train_params/lambda_orient,train/grad_norm,lr-Adam/background,epoch,train_params/lambda_sparsity,train/loss_orient,train/max_step
,20.0,1.0,0.3756091594696045,37.24073028564453,0.23424969613552094,14,0.0,12.772000312805176,8.630264282226562,,0,1.0,0.02052936889231205,980.0
0.01,,,,,,15,,,,0.001,,,,
,20.0,1.0,0.27536827325820923,37.800628662109375,0.15236595273017883,15,0.0,12.970000267028809,8.69489860534668,,0,1.0,0.01953941211104393,980.0
0.01,,,,,,16,,,,0.001,,,,
,20.0,1.0,0.22066397964954376,168.7174072265625,0.1275387704372406,16,0.0,13.168000221252441,18.36939811706543,,0,1.0,0.016950659453868866,980.0
0.01,,,,,,17,,,,0.001,,,,
,20.0,1.0,0.27273303270339966,33.281494140625,0.17714007198810577,17,0.0,13.366000175476074,8.158614158630371,,0,1.0,0.017068685963749886,980.0
0.01,,,,,,18,,,,0.001,,,,
,20.0,1.0,0.3247567117214203,199.82916259765625,0.23242539167404175,18,0.0,13.564000129699707,19.991456985473633,,0,1.0,0.016930896788835526,980.0
0.01,,,,,,19,,,,0.001,,,,
,20.0,1.0,0.3756195306777954,281.896728515625,0.27339106798171997,19,0.0,13.76200008392334,23.744335174560547,,0,1.0,0.018024809658527374,980.0
0.01,,,,,,20,,,,0.001,,,,
,20.0,1.0,0.24125632643699646,240.77536010742188,0.14666134119033813,20,0.0,13.960000038146973,21.944263458251953,,0,1.0,0.017185181379318237,980.0
0.01,,,,,,21,,,,0.001,,,,
,20.0,1.0,0.39596670866012573,493.5427551269531,0.2931952178478241,21,0.0,14.157999992370605,31.417917251586914,,0,1.0,0.01784713938832283,980.0
0.01,,,,,,22,,,,0.001,,,,
,20.0,1.0,0.20629528164863586,8.898006439208984,0.11272507905960083,22,0.0,14.355999946594238,4.218532085418701,,0,1.0,0.016428720206022263,980.0
0.01,,,,,,23,,,,0.001,,,,
,20.0,1.0,0.29751336574554443,213.55386352539062,0.20070278644561768,23,0.0,14.553999900817871,20.666584014892578,,0,1.0,0.01668347604572773,980.0
0.01,,,,,,24,,,,0.001,,,,
,20.0,1.0,0.4404437839984894,516.7212524414062,0.3124447464942932,24,0.0,14.751999855041504,32.14720153808594,,0,1.0,0.019735189154744148,980.0
0.01,,,,,,25,,,,0.001,,,,
,20.0,1.0,0.3137879967689514,0.0031041947659105062,0.18013118207454681,25,0.0,14.949999809265137,0.07879333943128586,,0,1.0,0.021573089063167572,980.0
0.01,,,,,,26,,,,0.001,,,,
,20.0,1.0,0.3105337619781494,311.4320983886719,0.21361654996871948,26,0.0,15.14799976348877,24.957246780395508,,0,1.0,0.016015293076634407,980.0
0.01,,,,,,27,,,,0.001,,,,
,20.0,1.0,0.4180719554424286,302.97698974609375,0.25053760409355164,27,0.0,15.345999717712402,24.616132736206055,,0,1.0,0.0214688703417778,980.0
0.01,,,,,,28,,,,0.001,,,,
,20.0,1.0,0.22280576825141907,8.17745590209961,0.12343798577785492,28,0.0,15.543999671936035,4.0441203117370605,,0,1.0,0.017148341983556747,980.0
0.01,,,,,,29,,,,0.001,,,,
,20.0,1.0,0.25215238332748413,94.55293273925781,0.1535969078540802,29,0.0,15.741999626159668,13.75157642364502,,0,1.0,0.017319928854703903,980.0
0.01,,,,,,30,,,,0.001,,,,
,20.0,1.0,0.3928665220737457,133.303955078125,0.2623674273490906,30,0.0,15.9399995803833,16.32813262939453,,0,1.0,0.018140466883778572,980.0
