lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
0.00037936095644506456,0.003793609564450651,0.00037936095644506456,4499,,,,,,,,,,,,,,,,,,,,,,,,
,,,4499,0.038760848343372345,0.22552219033241272,0.010305406525731087,0.01395019143819809,0.0014234172413125634,0.025766383856534958,0.005196469835937023,0.011851286515593529,198.3740692138672,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00037027664139081026,0.0037027664139081093,0.00037027664139081026,4599,,,,,,,,,,,,,,,,,,,,,,,,
,,,4599,0.03889372572302818,0.2210368663072586,0.011588901281356812,0.01390286348760128,0.0012927174102514982,0.025740884244441986,0.004950564354658127,0.010156417265534401,197.66946411132812,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003614098626396544,0.0036140986263965493,0.0003614098626396544,4699,,,,,,,,,,,,,,,,,,,,,,,,
,,,4699,0.043748676776885986,0.23580478131771088,0.011394926346838474,0.01410613488405943,0.0012295133201405406,0.026132414117455482,0.0037302898708730936,0.010474761947989464,202.11898803710938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003527554109883842,0.0035275541098838455,0.0003527554109883842,4799,,,,,,,,,,,,,,,,,,,,,,,,
,,,4799,0.04079257324337959,0.24211378395557404,0.01295939926058054,0.013513085432350636,0.0011604445753619075,0.024705752730369568,0.00703894067555666,0.011258198879659176,199.36863708496094,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00034430820197525665,0.0034430820197525708,0.00034430820197525665,4899,,,,,,,,,,,,,,,,,,,,,,,,
,,,4899,0.035294223576784134,0.21574470400810242,0.011042606085538864,0.01345181092619896,0.0009487949428148568,0.023728273808956146,0.006681150756776333,0.01155846007168293,200.40878295898438,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00033606327289289366,0.003360632728928936,0.00033606327289289366,4999,,,,,,,,,,,,,,,,,,,,,,,,
,,,4999,0.03666192665696144,0.22008736431598663,0.010935867205262184,0.01282478030771017,0.0016184966079890728,0.02569185383617878,0.007873699069023132,0.01219598762691021,199.48779296875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00032801577987270734,0.0032801577987270707,0.00032801577987270734,5099,,,,,,,,,,,,,,,,,,,,,,,,
,,,5099,0.03816146031022072,0.2296697050333023,0.011685753241181374,0.014134153723716736,0.0018640770576894283,0.02620851807296276,0.0059294868260622025,0.011273990385234356,198.7122344970703,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00032016099503914434,0.0032016099503914403,0.00032016099503914434,5199,,,,,,,,,,,,,,,,,,,,,,,,
,,,5199,0.03599388152360916,0.22134746611118317,0.010279672220349312,0.013928842730820179,0.0014501617988571525,0.02575889229774475,0.007192876189947128,0.013417469337582588,198.54421997070312,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003124943037320743,0.0031249430373207405,0.0003124943037320743,5299,,,,,,,,,,,,,,,,,,,,,,,,
,,,5299,0.0395297110080719,0.22842785716056824,0.011014321818947792,0.014009513892233372,0.0020539192482829094,0.026981409639120102,0.005189199000597,0.01153605803847313,197.69378662109375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003050112017956915,0.003050112017956916,0.0003050112017956915,5399,,,,,,,,,,,,,,,,,,,,,,,,
,,,5399,0.03594440966844559,0.2190736085176468,0.011958720162510872,0.013870799914002419,0.0015666248509660363,0.025602124631404877,0.007237643003463745,0.010970346629619598,200.88478088378906,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00029770729293233965,0.0029770729293233968,0.00029770729293233965,5499,,,,,,,,,,,,,,,,,,,,,,,,
,,,5499,0.04003077745437622,0.2253318876028061,0.010586225427687168,0.014176354743540287,0.0014646209310740232,0.026119496673345566,0.006394801661372185,0.0126598309725523,198.85385131835938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0002905782861196994,0.0029057828611969948,0.0002905782861196994,5599,,,,,,,,,,,,,,,,,,,,,,,,
,,,5599,0.03433135896921158,0.2164478898048401,0.010130658745765686,0.013287276960909367,0.000919557933229953,0.024122200906276703,0.004430926404893398,0.012264309450984001,199.11392211914062,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00028361999308982916,0.0028361999308982927,0.00028361999308982916,5699,,,,,,,,,,,,,,,,,,,,,,,,
,,,5699,0.036237139254808426,0.21941033005714417,0.009755166247487068,0.01261963788419962,0.000914550619199872,0.024778669700026512,0.006552517414093018,0.011142609640955925,199.3821258544922,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0002768283258685701,0.0027682832586857016,0.0002768283258685701,5799,,,,,,,,,,,,,,,,,,,,,,,,
,,,5799,0.03447411581873894,0.21490955352783203,0.011269963346421719,0.012796645984053612,0.0017014251789078116,0.026324879378080368,0.006247335113584995,0.011544066481292248,202.0265655517578,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00027019929437387515,0.0027019929437387532,0.00027019929437387515,5899,,,,,,,,,,,,,,,,,,,,,,,,
,,,5899,0.03435884788632393,0.21715140342712402,0.010973715223371983,0.012578018940985203,0.0014056937070563436,0.02586461789906025,0.006213010288774967,0.0130107831209898,200.33990478515625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0002637290040716496,0.0026372900407164966,0.0002637290040716496,5999,,,,,,,,,,,,,,,,,,,,,,,,
,,,5999,0.03547119349241257,0.21776092052459717,0.009757035411894321,0.01284477487206459,0.0010717392433434725,0.024747498333454132,0.006303302478045225,0.011716341599822044,200.73300170898438,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
,,,5999,,,,,,,,,,,,,,,,,,,,,,0,20.67901611328125,
0.00025741365368772424,0.002574136536877244,0.00025741365368772424,6099,,,,,,,,,,,,,,,,,,,,,,,,
,,,6099,0.03722280263900757,0.22181865572929382,0.009970385581254959,0.013458632864058018,0.0011775885941460729,0.02559572085738182,0.007605767343193293,0.012915760278701782,198.71641540527344,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00025124953297462,0.0025124953297462047,0.00025124953297462,6199,,,,,,,,,,,,,,,,,,,,,,,,
,,,6199,0.03371066972613335,0.21343713998794556,0.010415669530630112,0.012953134253621101,0.0010215488728135824,0.02398345246911049,0.007505464367568493,0.011280889622867107,199.43045043945312,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00024523302053178973,0.0024523302053179033,0.00024523302053178973,6299,,,,,,,,,,,,,,,,,,,,,,,,
,,,6299,0.0392506904900074,0.2266421616077423,0.01159761194139719,0.013495786115527153,0.0012616543099284172,0.025832027196884155,0.007185871712863445,0.012842463329434395,200.7624053955078,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00023936058167805708,0.0023936058167805733,0.00023936058167805708,6399,,,,,,,,,,,,,,,,,,,,,,,,
,,,6399,0.03314298018813133,0.20954184234142303,0.010920736007392406,0.012919897213578224,0.0012743774568662047,0.02559024654328823,0.00733588170260191,0.012413575313985348,201.47474670410156,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00023362876637500298,0.0023362876637500313,0.00023362876637500298,6499,,,,,,,,,,,,,,,,,,,,,,,,
,,,6499,0.02964957430958748,0.2035319060087204,0.010946677066385746,0.013102120719850063,0.0013594951014965773,0.02591509371995926,0.008478270843625069,0.011906519532203674,199.5778045654297,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00022803420720007977,0.0022803420720008023,0.00022803420720007977,6599,,,,,,,,,,,,,,,,,,,,,,,,
