lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
,,,2999,,,,,,,,,,,,,,,,,,,,,,0,23.99594497680664,
0.0005326243934441199,0.00532624393444121,0.0005326243934441199,3099,,,,,,,,,,,,,,,,,,,,,,,,
,,,3099,0.05131549388170242,0.2562556266784668,0.014087136834859848,0.014033466577529907,0.0006765233702026308,0.018384329974651337,0.0031406052876263857,0.011274334043264389,286.7079162597656,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000519869976540049,0.005198699765400499,0.000519869976540049,3199,,,,,,,,,,,,,,,,,,,,,,,,
,,,3199,0.04582603648304939,0.24001313745975494,0.01445423811674118,0.012545417062938213,0.0006781247793696821,0.020604437217116356,0.00926356390118599,0.013252868317067623,280.80499267578125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0005074209815290884,0.0050742098152908996,0.0005074209815290884,3299,,,,,,,,,,,,,,,,,,,,,,,,
,,,3299,0.05445604771375656,0.2619706988334656,0.015544133260846138,0.01243271678686142,0.0006772968336008489,0.021215680986642838,0.005893435329198837,0.014390058815479279,274.265625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004952700946678131,0.004952700946678146,0.0004952700946678131,3399,,,,,,,,,,,,,,,,,,,,,,,,
,,,3399,0.04478108882904053,0.2499496042728424,0.014202773571014404,0.012594645842909813,0.0006812733481638134,0.020118113607168198,0.004394099116325378,0.011545809917151928,275.2082214355469,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004834101773503484,0.004834101773503496,0.0004834101773503484,3499,,,,,,,,,,,,,,,,,,,,,,,,
,,,3499,0.044552624225616455,0.24776606261730194,0.015158550813794136,0.0125665795058012,0.0006951717659831047,0.02246928960084915,0.005659150891005993,0.011864851228892803,266.883056640625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00047183426191446616,0.004718342619144669,0.00047183426191446616,3599,,,,,,,,,,,,,,,,,,,,,,,,
,,,3599,0.05046503245830536,0.24662964046001434,0.014872719533741474,0.011588173918426037,0.0006864332244731486,0.022656938061118126,0.0054860501550138,0.012104146182537079,267.29034423828125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00046053554754810433,0.004605355475481049,0.00046053554754810433,3699,,,,,,,,,,,,,,,,,,,,,,,,
,,,3699,0.051562827080488205,0.25775498151779175,0.014893941581249237,0.011169563978910446,0.0006932454416528344,0.022294621914625168,0.00814215186983347,0.011979064904153347,264.1216735839844,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004495073962939136,0.004495073962939145,0.0004495073962939136,3799,,,,,,,,,,,,,,,,,,,,,,,,
,,,3799,0.042159661650657654,0.23868076503276825,0.014127613045275211,0.01177840493619442,0.0007055726600810885,0.024133749306201935,0.0055555542930960655,0.01145804114639759,258.9808349609375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00043874332914947955,0.0043874332914948,0.00043874332914947955,3899,,,,,,,,,,,,,,,,,,,,,,,,
,,,3899,0.03760586306452751,0.22848227620124817,0.014204660430550575,0.011680847965180874,0.0006743088597431779,0.02052238956093788,0.005166444927453995,0.011559943668544292,255.45420837402344,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004282370222609282,0.004282370222609286,0.0004282370222609282,3999,,,,,,,,,,,,,,,,,,,,,,,,
,,,3999,0.03336155414581299,0.21950595080852509,0.013763964176177979,0.011194577440619469,0.0007227274472825229,0.022163795307278633,0.004793575499206781,0.011494098231196404,252.7312774658203,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004179823032076846,0.004179823032076844,0.0004179823032076846,4099,,,,,,,,,,,,,,,,,,,,,,,,
,,,4099,0.044518303126096725,0.24968571960926056,0.013155369088053703,0.01280698087066412,0.0006777169764973223,0.02243826538324356,0.005679476540535688,0.010989544913172722,250.6644287109375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00040797314737619497,0.004079731473761952,0.00040797314737619497,4199,,,,,,,,,,,,,,,,,,,,,,,,
,,,4199,0.04200853779911995,0.24463990330696106,0.014349887147545815,0.012303734198212624,0.0006758751696906984,0.022903159260749817,0.006298653781414032,0.011399286799132824,247.5247039794922,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003982036744204882,0.003982036744204886,0.0003982036744204882,4299,,,,,,,,,,,,,,,,,,,,,,,,
,,,4299,0.040710464119911194,0.2378605604171753,0.01389169692993164,0.01243395172059536,0.0007203185232356191,0.022162094712257385,0.004589779302477837,0.011270217597484589,240.21652221679688,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003886681448074893,0.003886681448074897,0.0003886681448074893,4399,,,,,,,,,,,,,,,,,,,,,,,,
,,,4399,0.036171820014715195,0.2250550538301468,0.0136297307908535,0.0114572923630476,0.0007188263116404414,0.023259729146957397,0.0064090462401509285,0.012790563516318798,242.11822509765625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00037936095644506456,0.003793609564450651,0.00037936095644506456,4499,,,,,,,,,,,,,,,,,,,,,,,,
,,,4499,0.043730951845645905,0.24509261548519135,0.012654118239879608,0.011195693165063858,0.0007004794897511601,0.022767741233110428,0.004788091406226158,0.010929666459560394,237.99041748046875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00037027664139081026,0.0037027664139081093,0.00037027664139081026,4599,,,,,,,,,,,,,,,,,,,,,,,,
,,,4599,0.0380508154630661,0.225923091173172,0.014188742265105247,0.011599317193031311,0.0007225438603200018,0.023234425112605095,0.006438981741666794,0.010513829998672009,232.93177795410156,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003614098626396544,0.0036140986263965493,0.0003614098626396544,4699,,,,,,,,,,,,,,,,,,,,,,,,
,,,4699,0.03115672618150711,0.207365483045578,0.014219067990779877,0.011122862808406353,0.0009179451735690236,0.024672141298651695,0.005039810668677092,0.010809029452502728,235.8616485595703,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003527554109883842,0.0035275541098838455,0.0003527554109883842,4799,,,,,,,,,,,,,,,,,,,,,,,,
,,,4799,0.03738401085138321,0.21966701745986938,0.01406814157962799,0.010638153180480003,0.0007639868417754769,0.024489544332027435,0.004543524235486984,0.010595299303531647,235.08297729492188,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00034430820197525665,0.0034430820197525708,0.00034430820197525665,4899,,,,,,,,,,,,,,,,,,,,,,,,
,,,4899,0.03176850080490112,0.20575204491615295,0.013184405863285065,0.011321978643536568,0.0007379635353572667,0.024401895701885223,0.005335812922567129,0.01151139847934246,231.31236267089844,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00033606327289289366,0.003360632728928936,0.00033606327289289366,4999,,,,,,,,,,,,,,,,,,,,,,,,
