train_params/lambda_sparsity,train/loss_sparsity,lr-Adam/background,train_params/lambda_sds,lr-Adam/geometry,train_params/lambda_orient,epoch,train/min_step,train/loss_orient,train/loss_opaque,train/max_step,step,train/loss_sds,train_params/lambda_opaque,train/grad_norm
1.0,0.26261451840400696,,1.0,,13.168000221252441,0,20.0,0.018266528844833374,0.17072349786758423,980.0,16,163.28921508789062,0.0,18.071481704711914
,,0.001,,0.01,,,,,,,17,,,
1.0,0.30527475476264954,,1.0,,13.366000175476074,0,20.0,0.018972346559166908,0.2080155611038208,980.0,17,893.6510009765625,0.0,42.276493072509766
,,0.001,,0.01,,,,,,,18,,,
1.0,0.30271586775779724,,1.0,,13.564000129699707,0,20.0,0.018141208216547966,0.20854602754116058,980.0,18,975.0416259765625,0.0,44.15974807739258
,,0.001,,0.01,,,,,,,19,,,
1.0,0.2351956069469452,,1.0,,13.76200008392334,0,20.0,0.018527893349528313,0.1441090852022171,980.0,19,348.16412353515625,0.0,26.388032913208008
,,0.001,,0.01,,,,,,,20,,,
1.0,0.25337761640548706,,1.0,,13.960000038146973,0,20.0,0.019842682406306267,0.16137388348579407,980.0,20,721.6765747070312,0.0,37.99148941040039
,,0.001,,0.01,,,,,,,21,,,
1.0,0.39565855264663696,,1.0,,14.157999992370605,0,20.0,0.02093413472175598,0.285228431224823,980.0,21,1189.61767578125,0.0,48.77740478515625
,,0.001,,0.01,,,,,,,22,,,
1.0,0.267561674118042,,1.0,,14.355999946594238,0,20.0,0.02216721698641777,0.1702023446559906,980.0,22,2697.6767578125,0.0,73.45307159423828
,,0.001,,0.01,,,,,,,23,,,
1.0,0.21481147408485413,,1.0,,14.553999900817871,0,20.0,0.021130088716745377,0.11724185198545456,980.0,23,1034.6900634765625,0.0,45.490440368652344
,,0.001,,0.01,,,,,,,24,,,
1.0,0.5109796524047852,,1.0,,14.751999855041504,0,20.0,0.03151906281709671,0.31172752380371094,980.0,24,1009.7368774414062,0.0,44.93855667114258
,,0.001,,0.01,,,,,,,25,,,
1.0,0.2725820541381836,,1.0,,14.949999809265137,0,20.0,0.024697812274098396,0.16753622889518738,980.0,25,1278.437744140625,0.0,50.565555572509766
,,0.001,,0.01,,,,,,,26,,,
1.0,0.21158260107040405,,1.0,,15.14799976348877,0,20.0,0.024553200230002403,0.11217524111270905,980.0,26,196.39422607421875,0.0,19.818891525268555
,,0.001,,0.01,,,,,,,27,,,
1.0,0.4111936688423157,,1.0,,15.345999717712402,0,20.0,0.03341091424226761,0.23643958568572998,980.0,27,647.7701416015625,0.0,35.993614196777344
,,0.001,,0.01,,,,,,,28,,,
1.0,0.2457827627658844,,1.0,,15.543999671936035,0,20.0,0.02971997857093811,0.11838972568511963,980.0,28,382.65704345703125,0.0,27.664310455322266
,,0.001,,0.01,,,,,,,29,,,
1.0,0.3455944061279297,,1.0,,15.741999626159668,0,20.0,0.030013201758265495,0.2155652791261673,980.0,29,1776.58056640625,0.0,59.6083984375
,,0.001,,0.01,,,,,,,30,,,
1.0,0.32053759694099426,,1.0,,15.9399995803833,0,20.0,0.031097412109375,0.19862115383148193,980.0,30,1141.661376953125,0.0,47.78412628173828
