step,train/grad_norm,train/max_step,lr-Adam,train_params/lambda_sds,train_params/lambda_normal_consistency,train/loss_sds,train/loss_normal_consistency,train/min_step,epoch
93,261.0567321777344,500.0,,1.0,10000.0,34075.30859375,0.034581467509269714,20.0,0
94,,,0.01,,,,,,
94,124.47289276123047,500.0,,1.0,10000.0,7746.7509765625,0.03445432335138321,20.0,0
95,,,0.01,,,,,,
95,153.60902404785156,500.0,,1.0,10000.0,11797.865234375,0.03433617576956749,20.0,0
96,,,0.01,,,,,,
96,117.41297912597656,500.0,,1.0,10000.0,6892.90380859375,0.034225769340991974,20.0,0
97,,,0.01,,,,,,
97,137.3776092529297,500.0,,1.0,10000.0,9436.302734375,0.034111376851797104,20.0,0
98,,,0.01,,,,,,
98,69.84683990478516,500.0,,1.0,10000.0,2439.290771484375,0.03400004282593727,20.0,0
99,,,0.01,,,,,,
99,102.02725982666016,500.0,,1.0,10000.0,5204.78125,0.033886928111314774,20.0,0
100,,,0.01,,,,,,
100,54.924930572509766,500.0,,1.0,10000.0,1508.3739013671875,0.03377585485577583,20.0,0
101,,,0.01,,,,,,
101,38.277984619140625,500.0,,1.0,10000.0,732.6019897460938,0.033691003918647766,20.0,0
102,,,0.01,,,,,,
102,146.53311157226562,500.0,,1.0,10000.0,10735.9765625,0.033564113080501556,20.0,0
103,,,0.01,,,,,,
103,111.53889465332031,500.0,,1.0,10000.0,6220.462890625,0.033459968864917755,20.0,0
104,,,0.01,,,,,,
104,83.22757720947266,500.0,,1.0,10000.0,3463.4150390625,0.03336001932621002,20.0,0
105,,,0.01,,,,,,
105,73.54886627197266,500.0,,1.0,10000.0,2704.7177734375,0.03326520323753357,20.0,0
106,,,0.01,,,,,,
106,235.5048065185547,500.0,,1.0,10000.0,27731.255859375,0.033167075365781784,20.0,0
107,,,0.01,,,,,,
107,51.86296463012695,500.0,,1.0,10000.0,1344.883544921875,0.03308562934398651,20.0,0
108,,,0.01,,,,,,
108,58.74089813232422,500.0,,1.0,10000.0,1725.2464599609375,0.032988306134939194,20.0,0
109,,,0.01,,,,,,
109,35.099456787109375,500.0,,1.0,10000.0,615.9859619140625,0.0328986793756485,20.0,0
110,,,0.01,,,,,,
110,120.03231811523438,500.0,,1.0,10000.0,7203.87890625,0.03280526399612427,20.0,0
111,,,0.01,,,,,,
111,287.10906982421875,500.0,,1.0,10000.0,41215.8046875,0.032755739986896515,20.0,0
112,,,0.01,,,,,,
112,39.072113037109375,500.0,,1.0,10000.0,763.3150634765625,0.032755739986896515,20.0,0
113,,,0.01,,,,,,
113,16.35443687438965,500.0,,1.0,10000.0,133.73379516601562,0.0326307937502861,20.0,0
114,,,0.01,,,,,,
114,138.07615661621094,500.0,,1.0,10000.0,9532.51171875,0.03254138305783272,20.0,0
115,,,0.01,,,,,,
115,62.81462097167969,500.0,,1.0,10000.0,1972.8382568359375,0.0324505940079689,20.0,0
116,,,0.01,,,,,,
116,254.00238037109375,500.0,,1.0,10000.0,32258.6015625,0.03235689923167229,20.0,0
117,,,0.01,,,,,,
117,99.24536895751953,500.0,,1.0,10000.0,4924.8212890625,0.03231491521000862,20.0,0
118,,,0.01,,,,,,
118,127.15967559814453,500.0,,1.0,10000.0,8084.791015625,0.032170359045267105,20.0,0
119,,,0.01,,,,,,
119,37.67799758911133,500.0,,1.0,10000.0,709.8157958984375,0.032084811478853226,20.0,0
120,,,0.01,,,,,,
120,163.0965118408203,500.0,,1.0,10000.0,13300.2353515625,0.032002195715904236,20.0,0
121,,,0.01,,,,,,
121,284.21759033203125,500.0,,1.0,10000.0,40389.8203125,0.0319252572953701,20.0,0
122,,,0.01,,,,,,
122,13.079330444335938,500.0,,1.0,10000.0,85.53443908691406,0.031849026679992676,20.0,0
123,,,0.01,,,,,,
123,125.0131607055664,500.0,,1.0,10000.0,7814.14501953125,0.03177507966756821,20.0,0
124,,,0.01,,,,,,
124,69.22592163085938,500.0,,1.0,10000.0,2396.114013671875,0.03170410543680191,20.0,0
125,,,0.01,,,,,,
125,133.1874542236328,500.0,,1.0,10000.0,8869.44921875,0.03163359686732292,20.0,0
126,,,0.01,,,,,,
126,55.60572052001953,500.0,,1.0,10000.0,1545.998046875,0.0315614715218544,20.0,0
127,,,0.01,,,,,,
127,262.08154296875,500.0,,1.0,10000.0,34343.3671875,0.0314890556037426,20.0,0
128,,,0.01,,,,,,
128,474.9580383300781,500.0,,1.0,10000.0,112792.5546875,0.03142210841178894,20.0,0
129,,,0.01,,,,,,
129,149.9064483642578,500.0,,1.0,10000.0,11235.970703125,0.031359221786260605,20.0,0
130,,,0.01,,,,,,
130,11.835288047790527,500.0,,1.0,10000.0,70.03701782226562,0.03130105137825012,20.0,0
131,,,0.01,,,,,,
131,135.0759735107422,500.0,,1.0,10000.0,9122.7578125,0.031243115663528442,20.0,0
132,,,0.01,,,,,,
132,30.831687927246094,500.0,,1.0,10000.0,475.2964782714844,0.03118094429373741,20.0,0
133,,,0.01,,,,,,
133,358.71307373046875,500.0,,1.0,10000.0,64337.53125,0.031120540574193,20.0,0
134,,,0.01,,,,,,
134,4.064263820648193,500.0,,1.0,10000.0,8.25912094116211,0.03106733039021492,20.0,0
135,,,0.01,,,,,,
135,21.918916702270508,500.0,,1.0,10000.0,240.21945190429688,0.03101588599383831,20.0,0
136,,,0.01,,,,,,
136,152.33349609375,500.0,,1.0,10000.0,11602.74609375,0.03096325322985649,20.0,0
137,,,0.01,,,,,,
137,204.86636352539062,500.0,,1.0,10000.0,20985.11328125,0.030910154804587364,20.0,0
138,,,0.01,,,,,,
138,225.9591064453125,500.0,,1.0,10000.0,25528.7578125,0.030865179374814034,20.0,0
139,,,0.01,,,,,,
139,265.9681701660156,500.0,,1.0,10000.0,35369.53515625,0.030817247927188873,20.0,0
140,,,0.01,,,,,,
140,40.17919921875,500.0,,1.0,10000.0,807.18408203125,0.030826905742287636,20.0,0
141,,,0.01,,,,,,
141,18.72644805908203,500.0,,1.0,10000.0,175.33993530273438,0.030737753957509995,20.0,0
142,,,0.01,,,,,,
142,161.118408203125,500.0,,1.0,10000.0,12979.5712890625,0.0307020153850317,20.0,0
143,,,0.01,,,,,,
143,85.39588928222656,500.0,,1.0,10000.0,3646.229248046875,0.03066284954547882,20.0,0
144,,,0.01,,,,,,
144,177.3129425048828,500.0,,1.0,10000.0,15719.939453125,0.030624965205788612,20.0,0
145,,,0.01,,,,,,
145,94.85005950927734,500.0,,1.0,10000.0,4498.26708984375,0.030596867203712463,20.0,0
146,,,0.01,,,,,,
146,167.31797790527344,500.0,,1.0,10000.0,13997.6533203125,0.030527450144290924,20.0,0
147,,,0.01,,,,,,
147,198.66783142089844,500.0,,1.0,10000.0,19734.453125,0.03050455078482628,20.0,0
148,,,0.01,,,,,,
148,39.11484909057617,500.0,,1.0,10000.0,764.9857177734375,0.0304462518543005,20.0,0
149,,,0.01,,,,,,
149,115.54967498779297,500.0,,1.0,10000.0,6675.86328125,0.030414443463087082,20.0,0
150,,,0.01,,,,,,
150,361.91021728515625,500.0,,1.0,10000.0,65489.5,0.030388157814741135,20.0,0
151,,,0.01,,,,,,
151,143.10610961914062,500.0,,1.0,10000.0,10239.6796875,0.030354337766766548,20.0,0
152,,,0.01,,,,,,
152,23.91897201538086,500.0,,1.0,10000.0,286.0586242675781,0.030322248116135597,20.0,0
153,,,0.01,,,,,,
153,224.79568481445312,500.0,,1.0,10000.0,25266.55078125,0.030293937772512436,20.0,0
154,,,0.01,,,,,,
