lr-Adam/geometry.feature_network,train_params/lambda_3d_sd,train_params/lambda_rgb,train/loss_rgb,train/min_step,trian/loss_normal_smoothness_2d,train_params/lambda_sd,train_params/lambda_mask,lr-Adam/geometry.density_network,train_params/lambda_orient,lr-Adam/geometry.encoding,train/max_step,train_params/lambda_sparsity,train_params/lambda_opaque,train/loss_mask,step,train/loss_sd,train/loss_sd_3d,train/max_step_3d,train_params/lambda_normal_smoothness_2d,train/grad_norm_3d,epoch,train/loss_sparsity,train/loss_opaque,train/grad_norm,train/min_step_3d
,1.0,1000.0,0.057079579681158066,200.0,0.00023385586973745376,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.862460732460022,5,320.45489501953125,37.64665985107422,600.0,1000.0,8.677172660827637,0,0.25811389088630676,0.1415119767189026,25.31619644165039,200.0
0.001,,,,,,,,0.001,,0.01,,,,,6,,,,,,,,,,
,1.0,1000.0,0.057070158421993256,200.0,0.00016734033124521375,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8615429401397705,6,863.7275390625,29.126985549926758,600.0,1000.0,7.632429122924805,0,0.2582286596298218,0.14168868958950043,41.56266403198242,200.0
0.001,,,,,,,,0.001,,0.01,,,,,7,,,,,,,,,,
,1.0,1000.0,0.05705968290567398,200.0,0.0002505075535736978,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8607430458068848,7,400.0718688964844,5.153809070587158,600.0,1000.0,3.210547685623169,0,0.25816142559051514,0.14171479642391205,28.28681182861328,200.0
0.001,,,,,,,,0.001,,0.01,,,,,8,,,,,,,,,,
,1.0,1000.0,0.05704977363348007,200.0,0.00024093461979646236,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8598697185516357,8,494.4773254394531,26.42687225341797,600.0,1000.0,7.2700581550598145,0,0.2582780122756958,0.14152279496192932,31.447649002075195,200.0
0.001,,,,,,,,0.001,,0.01,,,,,9,,,,,,,,,,
,1.0,1000.0,0.05703291296958923,200.0,0.0002478859096299857,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8592865467071533,9,410.24993896484375,17.123870849609375,600.0,1000.0,5.852157115936279,0,0.2582162320613861,0.14150232076644897,28.64436912536621,200.0
0.001,,,,,,,,0.001,,0.01,,,,,10,,,,,,,,,,
,1.0,1000.0,0.05701887607574463,200.0,0.00020560543634928763,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8588639497756958,10,1400.93408203125,21.13892364501953,600.0,1000.0,6.50214147567749,0,0.2583315968513489,0.1412423998117447,52.93267822265625,200.0
0.001,,,,,,,,0.001,,0.01,,,,,11,,,,,,,,,,
,1.0,1000.0,0.05700288712978363,200.0,0.000260474014794454,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.857736587524414,11,235.6912384033203,63.18024826049805,600.0,1000.0,11.241019248962402,0,0.25830963253974915,0.14144927263259888,21.71134376525879,200.0
0.001,,,,,,,,0.001,,0.01,,,,,12,,,,,,,,,,
,1.0,1000.0,0.0569835901260376,200.0,0.00024404750729445368,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8575456142425537,12,171.84962463378906,86.97708129882812,600.0,1000.0,13.189167976379395,0,0.25844889879226685,0.14173808693885803,18.539127349853516,200.0
0.001,,,,,,,,0.001,,0.01,,,,,13,,,,,,,,,,
,1.0,1000.0,0.05696210265159607,200.0,0.0002784134412650019,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.856971025466919,13,52.29629135131836,7.223065376281738,600.0,1000.0,3.8008065223693848,0,0.2585516571998596,0.14153823256492615,10.227051734924316,200.0
0.001,,,,,,,,0.001,,0.01,,,,,14,,,,,,,,,,
,1.0,1000.0,0.05694223567843437,200.0,0.0002773046726360917,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8558337688446045,14,222.14999389648438,56.3431396484375,600.0,1000.0,10.615379333496094,0,0.25862473249435425,0.1416528970003128,21.07842445373535,200.0
0.001,,,,,,,,0.001,,0.01,,,,,15,,,,,,,,,,
,1.0,1000.0,0.056914787739515305,200.0,0.00017543381545692682,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8543131351470947,15,119.43892669677734,20.25723648071289,600.0,1000.0,6.365097999572754,0,0.2587125599384308,0.1417134702205658,15.455674171447754,200.0
0.001,,,,,,,,0.001,,0.01,,,,,16,,,,,,,,,,
