lr-Adam,train_params/lambda_normal_consistency,train/loss_normal_consistency,train/max_step,train/loss_mask,train/max_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train/grad_norm_3d,train_params/lambda_rgb,step,train/loss_rgb,train_params/lambda_sd,train/grad_norm,train/loss_sd_3d,train/loss_sd,train_params/lambda_laplacian_smoothness,train/min_step,train/min_step_3d,epoch
,1000.0,0.10842835158109665,600.0,0.16449162364006042,600.0,1.0,100.0,22.10025978088379,1000.0,31,0.02736305259168148,0.02500000037252903,100.8125991821289,244.2107391357422,5081.58984375,0.0,200.0,200.0,0
0.001,,,,,,,,,,32,,,,,,,,,
,1000.0,0.10815098136663437,600.0,0.16436481475830078,600.0,1.0,100.0,8.97892951965332,1000.0,32,0.027256151661276817,0.02500000037252903,382.0979919433594,40.310585021972656,72999.4375,0.0,200.0,200.0,0
0.001,,,,,,,,,,33,,,,,,,,,
,1000.0,0.10787563771009445,600.0,0.16421207785606384,600.0,1.0,100.0,10.98385238647461,1000.0,33,0.02714506909251213,0.02500000037252903,152.28956604003906,60.32250213623047,11596.056640625,0.0,200.0,200.0,0
0.001,,,,,,,,,,34,,,,,,,,,
,1000.0,0.10760106146335602,600.0,0.16412001848220825,600.0,1.0,100.0,11.859162330627441,1000.0,34,0.027038823813199997,0.02500000037252903,217.6328582763672,70.31986999511719,23682.029296875,0.0,200.0,200.0,0
0.001,,,,,,,,,,35,,,,,,,,,
,1000.0,0.10732772201299667,600.0,0.16413316130638123,600.0,1.0,100.0,8.510433197021484,1000.0,35,0.026932403445243835,0.02500000037252903,63.8221321105957,36.21373748779297,2036.6324462890625,0.0,200.0,200.0,0
0.001,,,,,,,,,,36,,,,,,,,,
,1000.0,0.10705365985631943,600.0,0.1639927625656128,600.0,1.0,100.0,7.361721038818359,1000.0,36,0.026826463639736176,0.02500000037252903,175.64732360839844,27.097471237182617,15425.9921875,0.0,200.0,200.0,0
0.001,,,,,,,,,,37,,,,,,,,,
,1000.0,0.10677974671125412,600.0,0.16371996700763702,600.0,1.0,100.0,6.29222297668457,1000.0,37,0.026723911985754967,0.02500000037252903,70.19284057617188,19.796035766601562,2463.517578125,0.0,200.0,200.0,0
0.001,,,,,,,,,,38,,,,,,,,,
,1000.0,0.10650542378425598,600.0,0.16357581317424774,600.0,1.0,100.0,9.687212944030762,1000.0,38,0.02662602625787258,0.02500000037252903,128.5209197998047,46.92104721069336,8258.8134765625,0.0,200.0,200.0,0
0.001,,,,,,,,,,39,,,,,,,,,
,1000.0,0.10623210668563843,600.0,0.16361811757087708,600.0,1.0,100.0,12.330065727233887,1000.0,39,0.026539258658885956,0.02500000037252903,141.7756805419922,76.0152587890625,10050.171875,0.0,200.0,200.0,0
0.001,,,,,,,,,,40,,,,,,,,,
,1000.0,0.10595990717411041,600.0,0.16357293725013733,600.0,1.0,100.0,12.239021301269531,1000.0,40,0.026450781151652336,0.02500000037252903,140.60633850097656,74.89682006835938,9885.0712890625,0.0,200.0,200.0,0
0.001,,,,,,,,,,41,,,,,,,,,
,1000.0,0.10568930208683014,600.0,0.16355785727500916,600.0,1.0,100.0,14.942133903503418,1000.0,41,0.026356376707553864,0.02500000037252903,153.3972930908203,111.6336898803711,11765.3642578125,0.0,200.0,200.0,0
0.001,,,,,,,,,,42,,,,,,,,,
,1000.0,0.10542232543230057,600.0,0.16353507339954376,600.0,1.0,100.0,12.106685638427734,1000.0,42,0.026255404576659203,0.02500000037252903,347.2977294921875,73.28591918945312,60307.859375,0.0,200.0,200.0,0
0.001,,,,,,,,,,43,,,,,,,,,
,1000.0,0.10515634715557098,600.0,0.16351206600666046,600.0,1.0,100.0,8.037885665893555,1000.0,43,0.02616201899945736,0.02500000037252903,73.52720642089844,32.303802490234375,2703.125,0.0,200.0,200.0,0
0.001,,,,,,,,,,44,,,,,,,,,
,1000.0,0.10489064455032349,600.0,0.1634640395641327,600.0,1.0,100.0,9.162172317504883,1000.0,44,0.02607104741036892,0.02500000037252903,162.7353515625,41.97270202636719,13241.3974609375,0.0,200.0,200.0,0
0.001,,,,,,,,,,45,,,,,,,,,
,1000.0,0.10462497174739838,600.0,0.1632961928844452,600.0,1.0,100.0,23.429553985595703,1000.0,45,0.025978337973356247,0.02500000037252903,313.75689697265625,274.47198486328125,49221.69140625,0.0,200.0,200.0,0
0.001,,,,,,,,,,46,,,,,,,,,
,1000.0,0.10436011850833893,600.0,0.1633484661579132,600.0,1.0,100.0,9.334396362304688,1000.0,46,0.02589799277484417,0.02500000037252903,77.9819107055664,43.56547927856445,3040.58935546875,0.0,200.0,200.0,0
0.001,,,,,,,,,,47,,,,,,,,,
,1000.0,0.10414128750562668,600.0,0.16332316398620605,600.0,1.0,100.0,18.608318328857422,1000.0,47,0.025812283158302307,0.02500000037252903,200.30592346191406,173.134765625,20061.232421875,0.0,200.0,200.0,0
0.001,,,,,,,,,,48,,,,,,,,,
,1000.0,0.10387783497571945,600.0,0.16321700811386108,600.0,1.0,100.0,8.32135009765625,1000.0,48,0.025720924139022827,0.02500000037252903,123.13212585449219,34.6224365234375,7580.759765625,0.0,200.0,200.0,0
0.001,,,,,,,,,,49,,,,,,,,,
,1000.0,0.10361526161432266,600.0,0.16317471861839294,600.0,1.0,100.0,23.835424423217773,1000.0,49,0.025632064789533615,0.02500000037252903,132.7971649169922,284.0637512207031,8817.5439453125,0.0,200.0,200.0,0
0.001,,,,,,,,,,50,,,,,,,,,
,1000.0,0.10330774635076523,600.0,0.16297084093093872,600.0,1.0,100.0,14.043966293334961,1000.0,50,0.02555188536643982,0.02500000037252903,276.7060852050781,98.61650085449219,38283.125,0.0,200.0,200.0,0
0.001,,,,,,,,,,51,,,,,,,,,
,1000.0,0.10304674506187439,600.0,0.16278937458992004,600.0,1.0,100.0,6.809140682220459,1000.0,51,0.025470178574323654,0.02500000037252903,181.08473205566406,23.18219757080078,16395.83984375,0.0,200.0,200.0,0
0.001,,,,,,,,,,52,,,,,,,,,
,1000.0,0.10278764367103577,600.0,0.16275769472122192,600.0,1.0,100.0,14.209569931030273,1000.0,52,0.02539265714585781,0.02500000037252903,158.01702880859375,100.95594024658203,12484.69140625,0.0,200.0,200.0,0
0.001,,,,,,,,,,53,,,,,,,,,
,1000.0,0.10252898931503296,600.0,0.16268092393875122,600.0,1.0,100.0,13.70266342163086,1000.0,53,0.0253125187009573,0.02500000037252903,237.779541015625,93.88150024414062,28269.5546875,0.0,200.0,200.0,0
0.001,,,,,,,,,,54,,,,,,,,,
,1000.0,0.10227134078741074,600.0,0.1622370183467865,600.0,1.0,100.0,10.984158515930176,1000.0,54,0.025220617651939392,0.02500000037252903,95.51520538330078,60.325870513916016,4561.5771484375,0.0,200.0,200.0,0
0.001,,,,,,,,,,55,,,,,,,,,
,1000.0,0.10201585292816162,600.0,0.1620153784751892,600.0,1.0,100.0,16.023691177368164,1000.0,55,0.02513059228658676,0.02500000037252903,198.13206481933594,128.37933349609375,19628.158203125,0.0,200.0,200.0,0
0.001,,,,,,,,,,56,,,,,,,,,
,1000.0,0.10176102072000504,600.0,0.16191208362579346,600.0,1.0,100.0,7.133059501647949,1000.0,56,0.025044035166502,0.02500000037252903,152.1645965576172,25.44026756286621,11577.03125,0.0,200.0,200.0,0
0.001,,,,,,,,,,57,,,,,,,,,
,1000.0,0.10150749236345291,600.0,0.16184064745903015,600.0,1.0,100.0,14.826156616210938,1000.0,57,0.02495957911014557,0.02500000037252903,196.1156005859375,109.90745544433594,19230.6640625,0.0,200.0,200.0,0
0.001,,,,,,,,,,58,,,,,,,,,
,1000.0,0.10125663131475449,600.0,0.16176733374595642,600.0,1.0,100.0,11.782444953918457,1000.0,58,0.024883609265089035,0.02500000037252903,276.5721130371094,69.41300964355469,38246.06640625,0.0,200.0,200.0,0
0.001,,,,,,,,,,59,,,,,,,,,
,1000.0,0.10100613534450531,600.0,0.16162121295928955,600.0,1.0,100.0,7.336700439453125,1000.0,59,0.024808838963508606,0.02500000037252903,146.053466796875,26.913585662841797,10665.80859375,0.0,200.0,200.0,0
0.001,,,,,,,,,,60,,,,,,,,,
,1000.0,0.10075642168521881,600.0,0.16156791150569916,600.0,1.0,100.0,5.563819408416748,1000.0,60,0.02474270388484001,0.02500000037252903,203.3392791748047,15.478044509887695,20673.4296875,0.0,200.0,200.0,0
0.001,,,,,,,,,,61,,,,,,,,,
,1000.0,0.10050693154335022,600.0,0.16167807579040527,600.0,1.0,100.0,9.622357368469238,1000.0,61,0.02468257211148739,0.02500000037252903,53.16341018676758,46.294883728027344,1413.174072265625,0.0,200.0,200.0,0
0.001,,,,,,,,,,62,,,,,,,,,
,1000.0,0.10025687515735626,600.0,0.16159255802631378,600.0,1.0,100.0,9.033105850219727,1000.0,62,0.024611860513687134,0.02500000037252903,95.71267700195312,40.79850387573242,4580.4580078125,0.0,200.0,200.0,0
0.001,,,,,,,,,,63,,,,,,,,,
,1000.0,0.10000656545162201,600.0,0.16155917942523956,600.0,1.0,100.0,9.760634422302246,1000.0,63,0.02454381063580513,0.02500000037252903,243.1097412109375,47.63499069213867,29551.171875,0.0,200.0,200.0,0
0.001,,,,,,,,,,64,,,,,,,,,
,1000.0,0.09975709021091461,600.0,0.16156485676765442,600.0,1.0,100.0,10.632704734802246,1000.0,64,0.024476047605276108,0.02500000037252903,138.42433166503906,56.52720642089844,9580.6484375,0.0,200.0,200.0,0
0.001,,,,,,,,,,65,,,,,,,,,
,1000.0,0.09950868040323257,600.0,0.16170139610767365,600.0,1.0,100.0,10.840513229370117,1000.0,65,0.024414002895355225,0.02500000037252903,159.05950927734375,58.75836181640625,12649.96484375,0.0,200.0,200.0,0
0.001,,,,,,,,,,66,,,,,,,,,
,1000.0,0.09926088899374008,600.0,0.16168954968452454,600.0,1.0,100.0,6.675323486328125,1000.0,66,0.024350931867957115,0.02500000037252903,191.74774169921875,22.279972076416016,18383.59765625,0.0,200.0,200.0,0
0.001,,,,,,,,,,67,,,,,,,,,
,1000.0,0.09901390969753265,600.0,0.16161158680915833,600.0,1.0,100.0,9.662216186523438,1000.0,67,0.024282392114400864,0.02500000037252903,223.365234375,46.67921829223633,24946.015625,0.0,200.0,200.0,0
0.001,,,,,,,,,,68,,,,,,,,,
,1000.0,0.09876637905836105,600.0,0.1616026610136032,600.0,1.0,100.0,12.673640251159668,1000.0,68,0.024212222546339035,0.02500000037252903,143.38404846191406,80.31057739257812,10279.4921875,0.0,200.0,200.0,0
0.001,,,,,,,,,,69,,,,,,,,,
,1000.0,0.0985199585556984,600.0,0.16155588626861572,600.0,1.0,100.0,11.067867279052734,1000.0,69,0.02414281666278839,0.02500000037252903,92.40812683105469,61.24884796142578,4269.630859375,0.0,200.0,200.0,0
0.001,,,,,,,,,,70,,,,,,,,,
,1000.0,0.09827367216348648,600.0,0.16147026419639587,600.0,1.0,100.0,18.09328269958496,1000.0,70,0.02407475933432579,0.02500000037252903,256.6061706542969,163.6834259033203,32923.3671875,0.0,200.0,200.0,0
0.001,,,,,,,,,,71,,,,,,,,,
,1000.0,0.09802693128585815,600.0,0.16172873973846436,600.0,1.0,100.0,12.112618446350098,1000.0,71,0.024023104459047318,0.02500000037252903,309.0367736816406,73.3577651977539,47751.86328125,0.0,200.0,200.0,0
0.001,,,,,,,,,,72,,,,,,,,,
,1000.0,0.09782813489437103,600.0,0.16168983280658722,600.0,1.0,100.0,12.003266334533691,1000.0,72,0.023954208940267563,0.02500000037252903,151.2342071533203,72.03919982910156,11435.892578125,0.0,200.0,200.0,0
0.001,,,,,,,,,,73,,,,,,,,,
,1000.0,0.09758418798446655,600.0,0.16168829798698425,600.0,1.0,100.0,12.582216262817383,1000.0,73,0.023885011672973633,0.02500000037252903,172.7659912109375,79.15607452392578,14924.04296875,0.0,200.0,200.0,0
0.001,,,,,,,,,,74,,,,,,,,,
,1000.0,0.0972960889339447,600.0,0.16159029304981232,600.0,1.0,100.0,13.932103157043457,1000.0,74,0.02381785772740841,0.02500000037252903,281.3580017089844,97.05174255371094,39581.1640625,0.0,200.0,200.0,0
0.001,,,,,,,,,,75,,,,,,,,,
,1000.0,0.09705516695976257,600.0,0.1615215539932251,600.0,1.0,100.0,12.536455154418945,1000.0,75,0.02375134639441967,0.02500000037252903,57.13291549682617,78.58135223388672,1632.0849609375,0.0,200.0,200.0,0
0.001,,,,,,,,,,76,,,,,,,,,
